frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
0,0,782.171,137.628,739.116,24.0681,0
0,1,707.71,570.51,556.878,413.846,1
0,2,670.494,135.726,633.194,24.0166,0
0,3,901.721,116.047,868.295,55.2802,0
0,4,282.623,165.084,215.973,37.7246,0
0,5,848.82,116.085,807.657,68.9564,0
0,6,1146.6,441.262,1060.45,300.205,0
0,7,525.487,120.042,476.6,57.2906,0
0,8,974.174,198.393,927.177,69.0559,0
0,9,382.546,49.4305,353.118,5.34664,0
0,10,165.12,415.774,104.322,323.75,0
0,11,398.22,100.456,353.152,49.4455,0
0,12,603.92,415.933,507.924,290.427,1
0,13,460.805,104.34,427.576,63.1557,0
1,1,707.709,570.505,556.888,413.867,1
1,0,780.269,137.608,739.097,24.0826,0
1,2,670.508,133.745,633.251,24.0249,0
1,3,901.725,116.027,868.302,55.2826,0
1,4,288.425,206.234,214.128,37.6823,0
1,6,1146.6,441.266,1060.45,300.216,0
1,5,848.814,116.053,807.672,68.9736,0
1,7,525.478,118.113,476.62,57.295,0
1,8,974.169,198.387,927.177,69.0575,0
1,9,382.544,49.435,353.132,5.34688,0
1,10,165.085,415.782,104.35,321.906,0
1,11,398.198,100.46,353.132,49.4503,0
1,12,605.876,417.755,507.922,290.454,1
1,13,460.825,104.348,427.538,65.1017,0
2,0,780.264,135.701,739.095,26.0348,0
2,1,707.701,570.502,556.899,413.855,1
2,2,668.642,143.495,631.379,24.022,0
2,3,901.723,116.042,868.299,55.2825,0
2,4,286.479,198.38,214.087,37.6805,0
2,6,1146.6,441.266,1060.45,300.211,0
2,5,848.821,116.049,807.677,68.9745,0
2,7,525.478,149.412,476.584,57.2848,0
2,8,974.179,198.384,927.177,69.0577,0
2,9,382.548,47.5553,353.123,5.34695,0
2,10,165.073,415.903,104.313,321.784,0
2,12,611.75,417.772,507.907,290.399,1
2,11,396.269,100.421,353.144,49.4389,0
2,13,460.829,106.342,419.734,63.1535,0
3,0,782.157,135.683,739.093,26.0294,0
3,1,707.699,568.682,556.916,413.822,1
3,2,670.501,145.459,631.376,24.0288,0
3,3,901.709,116.029,868.297,55.288,0
3,4,284.58,198.354,215.974,37.6809,0
3,6,1146.6,441.267,1060.45,300.221,0
3,5,848.822,116.028,807.619,68.9781,0
3,7,525.476,182.701,476.583,57.2876,0
3,8,974.171,198.395,927.173,69.0598,0
3,10,163.146,415.875,104.297,321.917,0
3,12,613.706,417.788,507.909,290.474,1
3,9,382.549,49.4278,353.138,5.34718,0
3,11,396.259,100.418,353.107,49.4332,0
3,13,460.856,108.261,417.872,63.1609,0
4,0,782.175,135.697,739.085,25.9986,0
4,1,705.819,568.676,556.909,413.809,1
4,2,670.505,137.617,633.207,24.0486,0
4,3,901.715,129.801,868.307,55.2903,0
4,4,284.549,194.482,217.936,37.708,0
4,5,848.817,116.045,807.642,68.983,0
4,6,1146.6,441.258,1060.45,300.208,0
4,7,525.469,118.137,476.591,57.3,0
4,12,615.594,417.781,507.92,290.375,1
4,10,163.143,415.863,104.3,323.734,0
4,8,974.189,198.377,927.178,69.0598,0
4,11,398.132,100.462,353.164,47.5324,0
4,13,460.779,102.441,429.442,61.2666,0
4,9,382.554,5.35259,366.83,5.34707,0
5,0,782.165,135.676,739.092,25.9877,0
5,1,707.702,568.677,556.916,413.795,1
5,2,670.494,137.628,633.213,24.0493,0
5,3,901.719,129.813,868.306,55.2934,0
5,4,280.666,157.24,219.935,37.709,0
5,6,1146.61,441.26,1060.45,300.203,0
5,5,848.808,116.064,807.578,68.9694,0
5,12,615.617,417.761,507.937,288.542,1
5,7,525.471,117.985,476.64,57.3061,0
5,8,974.199,198.379,927.179,69.064,0
5,10,163.134,415.823,104.307,323.771,0
5,11,396.177,100.393,353.142,47.5401,0
5,13,460.837,106.27,421.726,61.2221,0
5,9,382.552,5.35219,366.834,5.34702,0
5,14,86.689,73.0261,53.3805,5.33745,0
6,0,782.165,135.679,739.093,25.991,0
6,1,707.698,568.676,556.912,413.803,1
6,2,670.501,135.681,633.214,24.0465,0
6,3,901.715,116.019,868.307,55.2913,0
