frame,numero_pers,distance_x,distance_y,distance_z
0,0,-9.4914025,181.59526,0
0,1,351.75483499999996,-114.0018175,0
0,2,-99.036755,-286.31473,0
0,3,4.14421325,-1200.6439,0
0,4,124.79424,-1201.13905,0
0,5,324.35769500000004,-1121.0828999999999,0
0,6,261.9359,-1212.78795,0
0,7,186.19529,-1174.44615,0
0,8,-308.46403499999997,-1292.2437,0
0,9,-158.09792,-1149.4285,0
0,10,-225.96377,-1138.8758,0
0,11,-428.26059,-1128.32115,0
0,12,-377.16431,-75.86156500000001,0
0,13,-683.332705,-1450.99695,0
1,0,-9.400403999999998,181.78427499999998,0
1,1,351.76118499999995,-113.97062249999999,0
1,2,-98.9152825,-288.048805,0
1,3,3.9582519999999994,-1200.76965,0
1,4,124.97456500000001,-1201.78195,0
1,5,324.355575,-1120.9296,0
1,6,261.8884,-1212.86005,0
1,7,186.39472999999998,-1174.9146500000002,0
1,8,-308.36465499999997,-1290.50545,0
1,9,-158.090055,-1149.7069,0
1,10,-226.127235,-1138.4468000000002,0
1,11,-427.6401,-1125.4445999999998,0
1,12,-376.73436,-75.263635,0
1,13,-683.5047500000001,-1451.00205,0
2,0,-9.209131500000002,182.17799,0
2,1,351.788685,-114.094037,0
2,2,-98.9579675,-288.36879999999996,0
2,3,4.1451405,-1200.8923,0
2,4,124.738185,-1202.301,0
2,5,324.27954,-1121.2034,0
2,6,261.91855499999997,-1212.99735,0
2,7,187.01503,-1175.9134,0
2,8,-308.73381,-1289.83125,0
2,9,-158.114195,-1149.7551,0
2,10,-226.44851,-1138.64925,0
2,11,-428.060835,-1127.8536,0
2,12,-361.738295,-75.72274,0
2,13,-683.0314699999999,-1451.0872,0
3,0,-9.259583000000003,182.35433,0
3,1,351.79319999999996,-114.101305,0
3,2,-99.054497,-287.977915,0
3,3,3.8234710000000005,-1200.9177,0
3,4,124.88917000000001,-1202.2564499999999,0
3,5,324.25231,-1121.078,0
3,6,261.88532999999995,-1213.0543,0
3,7,187.13611,-1176.45665,0
3,8,-308.50841,-1288.8825000000002,0
3,9,-158.08742,-1149.5578,0
3,10,-226.579715,-1140.29695,0
3,11,-427.25559999999996,-1125.8724,0
3,12,-361.17494999999997,-75.884425,0
3,13,-683.0451800000001,-1450.65775,0
4,0,-9.2269705,182.64135,0
4,1,351.81483000000003,-114.218318,0
4,2,-97.976965,-221.074955,0
4,3,4.0256742,-1200.7984999999999,0
4,4,124.78627,-1202.12925,0
4,5,324.17314999999996,-1121.24565,0
4,6,261.87513,-1212.85475,0
4,7,186.596765,-1175.7448,0
4,8,-308.23514,-1292.94445,0
4,9,-157.977655,-1149.83835,0
4,10,-227.07866,-1141.1525,0
4,11,-426.951915,-1129.07385,0
4,12,-361.948805,-76.37568999999999,0
4,13,-682.76875,-1449.6882500000002,0
5,0,-9.2108375,182.62294,0
5,1,351.861005,-114.531397,0
5,2,-97.90311,-220.32560999999998,0
5,3,3.76941035,-1200.7723500000002,0
5,4,124.8280225,-1202.0326,0
5,5,324.40675,-1121.2278999999999,0
5,6,261.89234999999996,-1212.9035,0
5,7,187.336195,-1177.1747,0
5,8,-308.94284,-1290.9472,0
5,9,-158.048665,-1149.32955,0
5,10,-227.436205,-1140.74325,0
5,11,-427.05338,-1127.2901000000002,0
5,12,-361.29970000000003,-76.646762,0
5,13,-683.075,-1450.63535,0
6,0,-9.4182205,182.445915,0
6,1,351.843915,-114.45147750000001,0
6,2,-98.800145,-211.90388000000002,0
6,3,3.5138325000000004,-1200.7934500000001,0
6,4,124.79792,-1202.16165,0
6,5,324.391295,-1121.2008999999998,0
6,6,261.88657,-1212.8652499999998,0
6,7,187.23739999999998,-1176.4991,0
6,8,-308.67436,-1291.0654,0
6,9,-158.073565,-1149.3087,0
6,10,-227.48516,-1140.71705,0
6,11,-426.523665,-1124.8501999999999,0
6,12,-361.29637,-76.71921,0
6,13,-682.76755,-1449.1643,0
7,0,-9.366608999999997,182.78463,0
7,1,352.05506,-114.3481275,0
7,2,-99.10261249999999,-212.54889500000002,0
7,3,3.7723533000000002,-1200.7104,0
7,4,124.664075,-1202.4276,0
7,5,324.5073,-1120.6873500000002,0
7,6,261.8852,-1212.9768,0
7,7,186.86551,-1176.3933000000002,0
7,8,-308.5531,-1291.2298,0
7,9,-157.950185,-1149.8076500000002,0
7,10,-226.96048,-1139.1759,0
7,11,-426.49721,-1124.3911,0
7,12,-361.82915,-76.31694250000001,0
7,13,-682.7248,-1449.0689,0
8,0,-9.359104000000002,182.80307,0
8,1,351.98703,-114.351947,0
8,2,-99.608855,-212.841435,0
8,3,3.6909105,-1200.6458,0
8,4,124.63941249999999,-1202.2707,0
8,5,324.51239999999996,-1120.5796500000001,0
8,6,261.899095,-1212.8734,0
8,7,186.87471,-1176.69055,0
8,8,-308.45541000000003,-1290.1631499999999,0
8,9,-158.16616,-1149.208,0
8,10,-211.66173500000002,-1140.87865,0
8,11,-426.24714,-1123.76855,0
8,12,-361.80409,-76.355175,0
8,13,-682.59905,-1448.12775,0
9,0,-9.376581499999997,182.831695,0
9,1,351.97347,-114.265465,0
9,2,-104.2234805,-196.65877999999998,0
9,3,3.65109965,-1200.82465,0
9,4,124.711585,-1202.3862,0
9,5,324.38101500000005,-1120.04545,0
9,6,261.7984,-1212.9573500000001,0
9,7,187.00594,-1177.1862999999998,0
9,8,-308.59898499999997,-1290.26375,0
9,9,-158.10783500000002,-1149.37655,0
9,10,-226.633285,-1142.3858500000001,0
9,11,-425.58537,-1117.8961,0
9,12,-361.85209,-76.160695,0
9,13,-682.7262499999999,-1448.26935,0
10,0,-9.175192,182.647355,0
10,1,351.994125,-114.814202,0
10,2,-104.406135,-201.502305,0
10,3,3.5166417500000002,-1201.0309,0
10,4,124.53496799999999,-1202.4081,0
10,5,324.8565,-1120.1462999999999,0
10,6,261.828915,-1212.90405,0
10,7,187.02732500000002,-1177.5122000000001,0
10,8,-308.56613500000003,-1291.7776,0
10,9,-158.00906500000002,-1149.17445,0
10,10,-226.836315,-1144.35,0
10,11,-425.644685,-1115.29305,0
10,12,-361.927655,-75.98729,0
10,13,-682.749935,-1448.3431,0
11,0,-9.186542500000002,182.41415,0
11,1,351.97742500000004,-114.262843,0
11,2,-100.04265000000001,-215.131515,0
11,3,3.596628,-1200.86005,0
11,4,124.7010525,-1202.3659,0
11,5,324.91425,-1120.1064000000001,0
11,6,261.81501000000003,-1213.0644,0
11,7,187.02065,-1176.9358000000002,0
11,8,-308.30427,-1292.2154,0
11,9,-158.12268999999998,-1149.1824,0
11,10,-227.253615,-1144.8605,0
11,11,-426.05377,-1116.67355,0
11,12,-361.903225,-75.967535,0
