frame,numero_pers,distance_x,distance_y,distance_z
0,1,-9.4914025,181.59526,0
0,0,-99.036755,-286.31473,0
1,1,-9.400403999999998,181.78427499999998,0
1,0,-98.9152825,-288.048805,0
2,1,-9.209131500000002,182.17799,0
2,0,-98.9579675,-288.36879999999996,0
3,1,-9.259583000000003,182.35433,0
3,0,-99.054497,-287.977915,0
4,1,-9.2269705,182.64135,0
4,0,-97.976965,-221.074955,0
5,1,-9.2108375,182.62294,0
5,0,-97.90311,-220.32560999999998,0
6,1,-9.4182205,182.445915,0
6,0,-98.800145,-211.90388000000002,0
7,1,-9.366608999999997,182.78463,0
7,0,-99.10261249999999,-212.54889500000002,0
8,1,-9.359104000000002,182.80307,0
8,0,-99.608855,-212.841435,0
9,1,-9.376581499999997,182.831695,0
9,0,-104.2234805,-196.65877999999998,0
10,1,-9.175192,182.647355,0
10,0,-104.406135,-201.502305,0
11,1,-9.186542500000002,182.41415,0
11,0,-100.04265000000001,-215.131515,0
12,1,-9.176108,183.11307,0
12,0,-104.28022,-196.224605,0
13,1,-9.17024,183.0244,0
13,0,-104.1940175,-196.110425,0
14,1,-9.364519000000001,183.086975,0
14,0,-103.69067749999999,-178.55446,0
15,1,-9.388523,182.567335,0
15,0,-104.124292,-195.436095,0
16,1,-9.3792185,182.5995,0
16,0,-99.87212500000001,-202.66222,0
17,1,-9.573781500000003,182.82610499999998,0
17,0,-103.57578000000001,-196.55606,0
18,1,-9.572029,182.44669499999998,0
18,0,-103.7010625,-181.94070499999998,0
19,1,-9.376604,182.45785999999998,0
19,0,-104.348713,-187.07639999999998,0
20,1,-9.384170999999998,182.8404,0
20,0,-103.681034,-204.92543,0
21,1,-9.3766615,182.76422000000002,0
21,0,-110.00756200000001,-189.2835,0
22,1,-9.398728000000002,182.898865,0
22,0,-114.52633,-196.23493000000002,0
23,1,-9.231851500000001,182.74012,0
23,0,-105.48622,-207.3358,0
24,1,-9.396139000000002,182.97216500000002,0
24,0,-109.771885,-215.98570999999998,0
25,1,-9.238346,182.78705,0
25,0,-111.76112499999999,-227.08447,0
26,1,-9.274812999999998,182.4709,0
26,0,-113.543465,-223.549715,0
27,1,-9.215825000000002,181.82445,0
27,0,-115.33471750000001,-221.86162,0
28,1,-9.3668765,182.624455,0
28,0,-115.475315,-214.49099999999999,0
29,1,-9.339309999999998,181.93438500000002,0
29,0,-115.88351,-206.81313999999998,0
30,1,-9.560129,181.36735499999998,0
30,0,-116.49665,-208.44272,0
31,1,-9.372364999999999,180.71607,0
31,0,-111.019645,-168.1491,0
32,1,-9.312393,178.263755,0
32,0,-111.778535,-180.988225,0
33,1,-8.696186,172.312895,0
33,0,-111.955815,-176.994645,0
34,1,-7.557627500000002,168.178625,0
34,0,-111.5761075,-171.19305,0
35,1,-4.7020965,167.026535,0
35,0,-113.937903,-176.94564,0
36,1,-2.5376580000000004,164.844875,0
36,0,-117.47721999999999,-187.45893,0
37,1,-1.4075710000000008,162.26697000000001,0
37,0,-120.35646,-199.21588,0
38,1,-0.3757894999999998,164.3404,0
38,0,-122.957595,-212.90386,0
39,1,1.054426000000003,162.970485,0
39,0,-124.63054500000001,-219.84164499999997,0
40,1,2.7320080000000004,161.33034500000002,0
40,0,-123.11335,-214.45292999999998,0
41,1,5.044796000000002,159.07243,0
41,0,-119.85612699999999,-194.75489,0
42,1,8.695113,158.00179500000002,0
42,0,-117.25566799999999,-172.17395499999998,0
43,1,12.975714,157.900765,0
43,0,-115.592915,-179.73307,0
44,1,16.7641365,158.39989,0
44,0,-113.065833,-190.292195,0
