frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
0,1,-13.58416748046875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
0,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
1,1,-13.58416748046875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
1,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
2,1,-12.2071533203125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
2,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
3,1,-12.2071533203125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
3,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
4,1,-12.2071533203125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
4,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
5,1,-12.2071533203125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
5,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
6,1,-10.830078125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
6,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
7,1,-10.830078125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
7,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
8,1,-10.830078125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
8,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
9,1,-10.830078125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
9,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
10,1,-9.4530029296875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
10,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
11,1,-9.4530029296875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
11,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
12,1,-9.4530029296875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
12,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
13,1,-9.4530029296875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
13,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
14,1,-9.4530029296875,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
14,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
15,1,-8.07598876953125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
15,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
16,1,-8.07598876953125,259.43060302734375,74,m6,1,0,PRITHIKA-PAVADE
16,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
17,1,-8.10772705078125,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
17,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
18,1,-8.10772705078125,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
18,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
19,1,-8.10772705078125,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
19,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
20,1,-8.10772705078125,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
20,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
21,1,-9.4869384765625,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
21,0,-94.38250732421875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
22,1,-9.4869384765625,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
22,0,-95.7828369140625,-159.2618408203125,74,e4,12,0,PRITHIKA-PAVADE
23,1,-9.4869384765625,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
23,0,-95.9803466796875,-164.8782958984375,74,e4,12,0,PRITHIKA-PAVADE
24,1,-10.8662109375,255.24481201171875,74,m6,1,0,PRITHIKA-PAVADE
