frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,1,-13.58416748046875,259.43060302734375,74,m6
0,0,-94.38250732421875,-164.8782958984375,74,e4
0,4,-94.38250732421875,-164.8782958984375,74.0,m2
1,1,-13.58416748046875,259.43060302734375,74,m6
1,0,-94.38250732421875,-164.8782958984375,74,e4
1,4,-92.73245006777205,-160.71304276424385,72.64150943396227,m2
2,1,-12.2071533203125,259.43060302734375,74,m6
2,0,-94.38250732421875,-164.8782958984375,74,e4
2,4,-91.08239281132536,-156.54778963005018,71.28301886792453,m2
3,1,-12.2071533203125,259.43060302734375,74,m6
3,0,-94.38250732421875,-164.8782958984375,74,e4
3,4,-89.43233555487866,-152.38253649585653,69.9245283018868,m2
4,1,-12.2071533203125,259.43060302734375,74,m6
4,0,-94.38250732421875,-164.8782958984375,74,e4
4,4,-87.78227829843198,-148.21728336166285,68.56603773584905,m2
5,1,-12.2071533203125,259.43060302734375,74,m6
5,0,-94.38250732421875,-164.8782958984375,74,e4
5,4,-86.13222104198528,-144.0520302274692,67.20754716981132,m2
6,1,-10.830078125,259.43060302734375,74,m6
6,0,-94.38250732421875,-164.8782958984375,74,e4
6,4,-84.48216378553859,-139.88677709327555,65.84905660377359,m2
7,1,-10.830078125,259.43060302734375,74,m6
7,0,-94.38250732421875,-164.8782958984375,74,e4
7,4,-82.83210652909189,-135.72152395908188,64.49056603773585,m2
8,1,-10.830078125,259.43060302734375,74,m6
8,0,-94.38250732421875,-164.8782958984375,74,e4
8,4,-81.1820492726452,-131.5562708248882,63.132075471698116,m2
9,1,-10.830078125,259.43060302734375,74,m6
9,0,-94.38250732421875,-164.8782958984375,74,e4
9,4,-79.5319920161985,-127.39101769069455,61.77358490566038,m2
10,1,-9.4530029296875,259.43060302734375,74,m6
10,0,-94.38250732421875,-164.8782958984375,74,e4
10,4,-77.8819347597518,-123.22576455650089,60.41509433962264,m2
11,1,-9.4530029296875,259.43060302734375,74,m6
11,0,-94.38250732421875,-164.8782958984375,74,e4
11,4,-76.23187750330511,-119.06051142230723,59.056603773584904,m2
12,1,-9.4530029296875,259.43060302734375,74,m6
12,0,-94.38250732421875,-164.8782958984375,74,e4
12,4,-74.58182024685841,-114.89525828811358,57.698113207547166,m2
13,1,-9.4530029296875,259.43060302734375,74,m6
13,0,-94.38250732421875,-164.8782958984375,74,e4
13,4,-72.93176299041173,-110.73000515391992,56.339622641509436,m2
14,1,-9.4530029296875,259.43060302734375,74,m6
14,0,-94.38250732421875,-164.8782958984375,74,e4
14,4,-71.28170573396503,-106.56475201972626,54.9811320754717,m2
15,1,-8.07598876953125,259.43060302734375,74,m6
