frame,numero_pers,joint,x,y,tracking,est_joueur
0,0,0,0,0,0,1
0,0,1,625.468,423.658,0,1
0,0,2,648.86,427.63,0,1
0,0,3,648.928,460.924,0,1
0,0,4,633.308,466.783,0,1
0,0,5,603.932,415.927,0,1
0,0,6,586.304,443.203,0,1
0,0,7,588.315,468.722,0,1
0,0,8,617.529,482.446,0,1
0,0,9,631.362,486.342,0,1
0,0,10,664.716,517.719,0,1
0,0,11,690.116,558.924,0,1
0,0,12,601.863,480.457,0,1
0,0,13,572.681,507.842,0,1
0,0,14,558.858,551.005,0,1
0,0,15,0,0,0,1
0,0,16,0,0,0,1
0,0,17,641.119,404.101,0,1
0,0,18,619.66,400.18,0,1
0,0,19,554.96,543.203,0,1
0,0,20,550.993,547.127,0,1
0,0,21,558.89,556.85,0,1
0,0,22,697.958,558.881,0,1
0,0,23,701.863,562.778,0,1
0,0,24,692.034,570.532,0,1
0,1,0,758.698,29.9113,1,0
0,1,1,760.627,47.4893,1,0
0,1,2,744.919,45.531,1,0
0,1,3,740.994,71.0028,1,0
0,1,4,744.884,84.8144,1,0
0,1,5,776.336,49.4834,1,0
0,1,6,778.349,73.0492,1,0
0,1,7,766.531,86.6704,1,0
0,1,8,760.606,84.8144,1,0
0,1,9,748.895,84.7903,1,0
0,1,10,742.931,102.316,1,0
0,1,11,743.066,131.819,1,0
0,1,12,772.415,86.6365,1,0
0,1,13,776.407,100.368,1,0
0,1,14,780.249,131.751,1,0
0,1,15,756.727,25.9382,1,0
0,1,16,760.702,25.9932,1,0
0,1,17,748.923,25.988,1,0
0,1,18,770.449,27.9724,1,0
0,1,19,0,0,1,0
0,1,20,0,0,1,0
0,1,21,778.26,133.648,1,0
0,1,22,743.024,135.646,1,0
0,1,23,743.026,133.763,1,0
0,1,24,744.986,135.702,1,0
0,2,0,1123.06,304.234,2,0
0,2,1,1142.64,323.81,2,0
0,2,2,1136.81,321.739,2,0
0,2,3,1117.18,337.462,2,0
0,2,4,1087.89,347.267,2,0
0,2,5,1150.42,331.565,2,0
0,2,6,1123.05,355.098,2,0
0,2,7,1093.66,364.895,2,0
0,2,8,1130.95,382.534,2,0
0,2,9,1125.03,376.655,2,0
0,2,10,1085.87,366.865,2,0
0,2,11,1095.65,411.922,2,0
0,2,12,1134.8,386.415,2,0
0,2,13,1076.13,382.453,2,0
0,2,14,1083.91,431.457,2,0
0,2,15,1121.26,304.099,2,0
0,2,16,1127,304.06,2,0
0,2,17,0,0,2,0
0,2,18,1136.8,304.199,2,0
0,2,19,1062.4,435.452,2,0
0,2,20,1072.06,441.335,2,0
0,2,21,1089.73,433.536,2,0
0,2,22,1078,423.655,2,0
0,2,23,0,0,2,0
0,2,24,1103.44,413.925,2,0
0,3,0,882.112,61.1962,3,0
0,3,1,883.948,71.039,3,0
0,3,2,868.331,71.1011,3,0
0,3,3,862.53,98.4564,3,0
0,3,4,870.416,104.3,3,0
0,3,5,897.735,70.9875,3,0
0,3,6,905.65,90.6043,3,0
0,3,7,895.85,86.8059,3,0
0,3,8,884.1,116.04,3,0
0,3,9,872.331,116.032,3,0
0,3,10,874.254,147.488,3,0
0,3,11,876.261,180.687,3,0
0,3,12,895.771,116.05,3,0
0,3,13,897.75,149.335,3,0
0,3,14,899.674,180.763,3,0
0,3,15,878.181,55.4665,3,0
0,3,16,884.082,57.2899,3,0
0,3,17,872.389,55.4497,3,0
0,3,18,886.106,55.4505,3,0
0,3,19,899.715,188.58,3,0
0,3,20,903.637,190.525,3,0
0,3,21,897.806,180.772,3,0
0,3,22,880.157,184.678,3,0
0,3,23,876.253,182.732,3,0
0,3,24,882.105,180.742,3,0
0,4,0,241.515,33.7814,4,0
0,4,1,241.517,47.5316,4,0
0,4,2,227.663,49.4671,4,0
0,4,3,225.777,72.9705,4,0
0,4,4,241.542,74.9373,4,0
0,4,5,257.111,45.5638,4,0
0,4,6,259.118,70.9493,4,0
0,4,7,239.477,71.1155,4,0
0,4,8,243.361,86.6963,4,0
0,4,9,231.644,86.6956,4,0
0,4,10,235.585,114.116,4,0
0,4,11,239.517,147.424,4,0
0,4,12,255.119,86.663,4,0
0,4,13,259.053,114.109,4,0
0,4,14,261.038,147.454,4,0
0,4,15,239.546,27.9518,4,0
0,4,16,243.428,27.9439,4,0
0,4,17,231.644,31.8616,4,0
0,4,18,247.329,29.8994,4,0
0,4,19,266.934,153.328,4,0
0,4,20,272.806,149.444,4,0
0,4,21,259.123,147.46,4,0
0,4,22,241.516,159.157,4,0
0,4,23,233.659,153.328,4,0
0,4,24,241.485,149.362,4,0
0,5,0,116.054,333.566,5,0
0,5,1,100.336,355.076,5,0
0,5,2,90.6648,362.902,5,0
0,5,3,102.415,400.193,5,0
0,5,4,135.666,400.198,5,0
0,5,5,102.434,351.209,5,0
0,5,6,118.045,382.423,5,0
0,5,7,137.662,388.433,5,0
0,5,8,100.385,409.935,5,0
0,5,9,94.5134,413.909,5,0
0,5,10,127.835,415.774,5,0
0,5,11,0,0,5,0
0,5,12,106.272,402.173,5,0
0,5,13,0,0,5,0
0,5,14,0,0,5,0
0,5,15,114.122,329.642,5,0
0,5,16,116.122,325.759,5,0
0,5,17,102.416,335.417,5,0
0,5,18,0,0,5,0
0,5,19,0,0,5,0
0,5,20,0,0,5,0
0,5,21,0,0,5,0
0,5,22,0,0,5,0
0,5,23,0,0,5,0
0,5,24,0,0,5,0
0,6,0,950.659,71.1009,6,0
0,6,1,948.824,80.819,6,0
0,6,2,935.073,78.8801,6,0
0,6,3,931.092,98.4096,6,0
0,6,4,929.062,108.229,6,0
0,6,5,964.448,82.7062,6,0
0,6,6,974.168,100.458,6,0
0,6,7,964.493,116.071,6,0
0,6,8,948.715,118.092,6,0
0,6,9,940.844,118.032,6,0
0,6,10,942.827,153.333,6,0
0,6,11,938.942,184.635,6,0
0,6,12,960.479,118.138,6,0
0,6,13,962.344,153.295,6,0
0,6,14,962.382,186.612,6,0
0,6,15,948.67,70.9556,6,0
0,6,16,954.612,70.9461,6,0
0,6,17,946.692,69.1349,6,0
0,6,18,960.487,69.145,6,0
0,6,19,960.495,194.44,6,0
0,6,20,962.453,196.382,6,0
0,6,21,960.494,188.551,6,0
0,6,22,934.997,194.402,6,0
0,6,23,931.12,190.538,6,0
0,6,24,940.894,184.651,6,0
0,7,0,823.437,69.13,7,0
0,7,1,823.38,84.7139,7,0
0,7,2,809.651,84.7195,7,0
0,7,3,805.65,100.447,7,0
0,7,4,807.75,104.359,7,0
0,7,5,838.977,84.6897,7,0
0,7,6,846.861,102.376,7,0
0,7,7,835.044,108.239,7,0
0,7,8,823.344,116.053,7,0
0,7,9,815.499,116.027,7,0
0,7,10,0,0,7,0
0,7,11,0,0,7,0
0,7,12,835.117,116.092,7,0
0,7,13,0,0,7,0
0,7,14,0,0,7,0
0,7,15,823.28,68.9776,7,0
0,7,16,825.368,69.0084,7,0
0,7,17,821.37,69.0419,7,0
0,7,18,831.171,69.0788,7,0
0,7,19,0,0,7,0
0,7,20,0,0,7,0
0,7,21,0,0,7,0
0,7,22,0,0,7,0
0,7,23,0,0,7,0
0,7,24,0,0,7,0
0,8,0,71.0522,5.35429,8,0
0,8,1,71.0111,5.34678,8,0
0,8,2,57.3596,5.34552,8,0
0,8,3,55.2901,20.0801,8,0
0,8,4,65.1408,24.0091,8,0
0,8,5,84.7009,5.34995,8,0
0,8,6,88.6299,20.03,8,0
0,8,7,82.7411,23.9725,8,0
0,8,8,69.1354,27.8995,8,0
0,8,9,61.2408,27.9593,8,0
0,8,10,57.2915,41.7074,8,0
0,8,11,57.3129,69.0898,8,0
0,8,12,78.8333,26.0355,8,0
0,8,13,84.7865,41.6778,8,0
0,8,14,88.659,67.0727,8,0
0,8,15,69.1373,5.3594,8,0
0,8,16,71.1256,5.3615,8,0
0,8,17,67.0765,5.36073,8,0
0,8,18,80.831,5.36428,8,0
0,8,19,88.6686,69.1193,8,0
0,8,20,94.5306,69.0183,8,0
0,8,21,86.7346,67.1084,8,0
0,8,22,61.236,71.079,8,0
0,8,23,55.3951,71.0725,8,0
0,8,24,59.287,70.9998,8,0
0,9,0,598.035,306.192,9,1
0,9,1,572.519,300.238,9,1
0,9,2,576.455,304.146,9,1
0,9,3,588.197,321.848,9,1
0,9,4,607.871,321.76,9,1
0,9,5,568.627,290.489,9,1
0,9,6,578.447,319.867,9,1
0,9,7,603.869,321.768,9,1
0,9,8,525.619,319.863,9,1
0,9,9,533.376,321.847,9,1
0,9,10,537.282,368.776,9,1
0,9,11,519.673,407.966,9,1
0,9,12,523.592,315.937,9,1
0,9,13,533.41,366.807,9,1
0,9,14,513.804,406.037,9,1
0,9,15,599.967,304.232,9,1
0,9,16,0,0,9,1
0,9,17,590.209,300.27,9,1
0,9,18,0,0,9,1
0,9,19,525.493,415.815,9,1
0,9,20,523.582,413.919,9,1
0,9,21,509.838,413.811,9,1
0,9,22,525.572,415.873,9,1
0,9,23,523.632,415.892,9,1
0,9,24,511.842,413.793,9,1
0,10,0,498.162,67.0387,10,0
0,10,1,496.179,84.6449,10,0
0,10,2,480.58,84.6549,10,0
0,10,3,478.546,102.411,10,0
0,10,4,494.215,100.371,10,0
0,10,5,511.856,84.6417,10,0
0,10,6,523.544,104.295,10,0
0,10,7,509.902,98.4347,10,0
0,10,8,496.137,121.952,10,0
0,10,9,488.277,120.052,10,0
0,10,10,490.256,145.454,10,0
0,10,11,492.227,170.953,10,0
0,10,12,507.974,121.947,10,0
0,10,13,521.613,120.058,10,0
0,10,14,0,0,10,0
0,10,15,494.31,59.2772,10,0
0,10,16,505.902,59.2807,10,0
0,10,17,492.268,63.2124,10,0
0,10,18,507.932,65.1206,10,0
0,10,19,0,0,10,0
0,10,20,0,0,10,0
0,10,21,0,0,10,0
0,10,22,0,0,10,0
0,10,23,0,0,10,0
0,10,24,0,0,10,0
0,11,0,431.525,67.0742,11,0
0,11,1,431.471,80.814,11,0
0,11,2,415.893,82.7451,11,0
0,11,3,413.794,102.38,11,0
0,11,4,417.808,114.12,11,0
0,11,5,445.28,80.7946,11,0
0,11,6,458.85,102.301,11,0
0,11,7,447.156,110.231,11,0
0,11,8,431.604,118.04,11,0
0,11,9,425.632,118.061,11,0
0,11,10,421.708,145.471,11,0
0,11,11,421.712,184.664,11,0
0,11,12,445.199,118.028,11,0
0,11,13,451.091,129.806,11,0
0,11,14,445.21,184.657,11,0
0,11,15,429.573,61.2118,11,0
0,11,16,433.481,59.2904,11,0
0,11,17,423.675,63.2242,11,0
0,11,18,439.38,65.0997,11,0
0,11,19,0,0,11,0
0,11,20,0,0,11,0
0,11,21,0,0,11,0
0,11,22,0,0,11,0
0,11,23,0,0,11,0
0,11,24,427.597,182.731,11,0
0,12,0,374.655,5.35378,12,0
0,12,1,372.703,20.032,12,0
0,12,2,359.012,20.1207,12,0
0,12,3,353.078,37.7446,12,0
0,12,4,364.854,51.4154,12,0
0,12,5,386.411,18.1139,12,0
0,12,6,396.274,37.6374,12,0
0,12,7,382.443,43.5867,12,0
0,12,8,372.701,53.378,12,0
0,12,9,364.934,53.3791,12,0
0,12,10,355.118,71.0415,12,0
0,12,11,345.345,102.425,12,0
0,12,12,382.551,53.3607,12,0
0,12,13,388.454,59.3106,12,0
0,12,14,398.153,98.4172,12,0
0,12,15,370.771,5.35359,12,0
0,12,16,378.634,5.36063,12,0
0,12,17,368.74,5.35488,12,0
0,12,18,382.468,5.35619,12,0
0,12,19,400.123,106.285,12,0
