frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu
0,1,-16.609375,234.11566162109375,74,m6
0,0,-94.38250732421875,-164.8782958984375,74,e4
0,4,-94.38250732421875,-164.8782958984375,74.0,m3
1,1,-18.0474853515625,229.849365234375,74,m6
1,0,-94.38250732421875,-164.8782958984375,74,e4
1,4,-93.13643163767728,-161.80257870934227,73.18181818181819,m3
2,1,-19.490234375,225.56939697265625,74,m5
2,0,-94.38250732421875,-164.8782958984375,74,e4
2,4,-91.8903559511358,-158.726861520247,72.36363636363636,m3
3,1,-19.43994140625,229.849365234375,74,m6
3,0,-94.38250732421875,-164.8782958984375,74,e4
3,4,-90.64428026459434,-155.65114433115178,71.54545454545455,m3
4,1,-17.99957275390625,234.11566162109375,74,m6
4,0,-94.38250732421875,-164.8782958984375,74,e4
4,4,-89.39820457805287,-152.57542714205655,70.72727272727273,m3
5,1,-16.5638427734375,238.368408203125,74,m6
5,0,-94.38250732421875,-164.8782958984375,74,e4
5,4,-88.1521288915114,-149.49970995296133,69.9090909090909,m3
6,1,-16.47314453125,246.8333740234375,74,m6
6,0,-94.38250732421875,-164.8782958984375,74,e4
6,4,-86.90605320496992,-146.42399276386607,69.0909090909091,m3
7,1,-16.42803955078125,251.0457763671875,74,m6
7,0,-94.38250732421875,-164.8782958984375,74,e4
7,4,-85.65997751842846,-143.34827557477084,68.27272727272727,m3
8,1,-16.38311767578125,255.24481201171875,74,m6
8,0,-94.38250732421875,-164.8782958984375,74,e4
8,4,-84.41390183188699,-140.2725583856756,67.45454545454545,m3
9,1,-15.00384521484375,255.24481201171875,74,m6
9,0,-94.38250732421875,-164.8782958984375,74,e4
9,4,-83.16782614534551,-137.19684119658035,66.63636363636364,m3
10,1,-15.00384521484375,255.24481201171875,74,m6
10,0,-94.38250732421875,-164.8782958984375,74,e4
10,4,-81.92175045880404,-134.12112400748512,65.81818181818181,m3
11,1,-15.00384521484375,255.24481201171875,74,m6
11,0,-94.38250732421875,-164.8782958984375,74,e4
11,4,-80.67567477226257,-131.0454068183899,65.0,m3
12,1,-15.00384521484375,255.24481201171875,74,m6
12,0,-94.38250732421875,-164.8782958984375,74,e4
12,4,-79.4295990857211,-127.96968962929466,64.18181818181819,m3
13,1,-16.38311767578125,255.24481201171875,74,m6
13,0,-94.38250732421875,-164.8782958984375,74,e4
13,4,-78.18352339917963,-124.89397244019942,63.36363636363636,m3
14,1,-16.38311767578125,255.24481201171875,74,m6
14,0,-94.38250732421875,-164.8782958984375,74,e4
14,4,-76.93744771263816,-121.81825525110418,62.54545454545455,m3
15,1,-16.42803955078125,251.0457763671875,74,m6
15,0,-94.38250732421875,-164.8782958984375,74,e4
15,4,-75.69137202609669,-118.74253806200895,61.72727272727273,m3
16,1,-16.42803955078125,251.0457763671875,74,m6
16,0,-94.38250732421875,-164.8782958984375,74,e4
16,4,-74.44529633955523,-115.66682087291372,60.90909090909091,m3
17,1,-17.85675048828125,246.8333740234375,74,m6
17,0,-94.38250732421875,-164.8782958984375,74,e4
17,4,-73.19922065301375,-112.59110368381846,60.09090909090909,m3
18,1,-20.62396240234375,246.8333740234375,74,m6
18,0,-94.38250732421875,-164.8782958984375,74,e4
18,4,-71.95314496647228,-109.51538649472323,59.27272727272727,m3
19,1,-20.67584228515625,242.60760498046875,74,m6
19,0,-94.38250732421875,-164.8782958984375,74,e4
19,4,-70.7070692799308,-106.439669305628,58.45454545454545,m3
20,1,-22.1158447265625,238.368408203125,74,m6
20,0,-94.38250732421875,-164.8782958984375,74,e4
20,4,-69.46099359338933,-103.36395211653276,57.63636363636364,m3
21,1,-20.67584228515625,242.60760498046875,74,m6
21,0,-94.38250732421875,-164.8782958984375,74,e4
21,4,-68.21491790684786,-100.28823492743753,56.81818181818181,m3
22,1,-19.2900390625,242.60760498046875,74,m6
22,0,-94.38250732421875,-164.8782958984375,74,e4
22,4,-66.9688422203064,-97.21251773834229,56.0,m3
23,1,-17.90423583984375,242.60760498046875,74,m6
23,0,-94.38250732421875,-164.8782958984375,74,e4
23,4,-65.72276653376493,-94.13680054924704,55.18181818181819,m3
24,1,-16.47314453125,246.8333740234375,74,m6
24,0,-94.38250732421875,-164.8782958984375,74,e4
24,4,-64.47669084722345,-91.06108336015181,54.36363636363636,m3
25,1,-13.7059326171875,246.8333740234375,74,m6
25,0,-94.38250732421875,-164.8782958984375,74,e4
25,4,-63.230615160681985,-87.98536617105657,53.54545454545455,m3
26,1,-12.36102294921875,242.60760498046875,74,m6
26,0,-94.38250732421875,-164.8782958984375,74,e4
