frame,numero_pers,joint,x,y,z,tracking
0,0,15,-58.62975,168.6864,0.0,0
0,0,16,34.98354,192.29817,0.0,0
0,1,15,352.53372,-109.79732,0.0,1
0,1,16,351.94873,-116.19096,0.0,1
0,2,15,-96.4748,-410.06073,0.0,2
0,2,16,-102.73164,-173.54729,0.0,2
0,3,15,149.59303,-1302.4117,0.0,3
0,3,16,107.008865,-1203.3792,0.0,3
0,4,15,337.58658,-1125.1627,0.0,4
0,4,16,313.25034,-1125.0745,0.0,4
0,5,15,202.75433,-1163.261,0.0,5
0,5,16,186.25517,-1163.1989,0.0,5
0,6,15,268.991,-1200.9115,0.0,6
0,6,16,251.00134,-1200.8416,0.0,6
0,7,15,-152.38513,-1167.9365,0.0,7
0,7,16,-168.04369,-1167.8773,0.0,7
0,8,15,-699.1788,-1555.0006,0.0,8
0,8,16,-683.77,-1455.4517,0.0,8
0,9,15,-222.74109,-1149.8966,0.0,9
0,9,16,-243.43939,-1149.8197,0.0,9
0,10,15,-315.65698,-1175.9171,0.0,10
0,10,16,-317.23065,-1175.9111,0.0,10
0,11,15,-404.77057,-1039.5638,0.0,11
0,11,16,-436.73535,-1051.9009,0.0,11
0,12,15,-382.8458,-110.65724,0.0,12
0,12,16,-382.8458,-110.65724,0.0,12
0,13,15,-722.6334,-1214.7699,0.0,13
0,13,16,-722.6334,-1214.7699,0.0,13
1,0,15,-59.06842,168.23924,0.0,0
1,0,16,34.58481,189.63431,-1.1368684e-13,0
1,1,15,352.4937,-109.69714,0.0,1
1,1,16,352.24243,-116.09338,0.0,1
1,2,15,-98.09827,-410.10397,0.0,2
1,2,16,-102.81418,-173.72223,0.0,2
1,3,15,149.81238,-1301.2181,0.0,3
1,3,16,106.992035,-1203.2393,0.0,3
1,4,15,337.6202,-1125.4413,0.0,4
1,4,16,313.28876,-1125.353,0.0,4
1,5,15,202.8054,-1163.1018,0.0,5
1,5,16,186.28467,-1163.0398,0.0,5
1,6,15,269.13898,-1200.0686,0.0,6
1,6,16,251.04237,-1199.9983,0.0,6
1,7,15,-152.32903,-1167.6382,0.0,7
1,7,16,-168.00223,-1167.579,0.0,7
1,8,15,-699.1944,-1555.0662,1.1368684e-13,8
1,8,16,-683.6194,-1454.4907,0.0,8
1,9,15,-222.49632,-1149.9951,0.0,9
1,9,16,-243.41075,-1149.9174,0.0,9
1,10,15,-315.64734,-1175.7639,0.0,10
1,10,16,-317.22226,-1175.7578,0.0,10
1,11,15,-405.34915,-1042.8875,0.0,11
1,11,16,-437.84058,-1062.8275,0.0,11
1,12,15,-382.8762,-110.83123,0.0,12
1,12,16,-382.8762,-110.83123,0.0,12
1,13,15,-722.5862,-1214.8751,0.0,13
1,13,16,-722.5862,-1214.8751,0.0,13
2,0,15,-59.063435,167.0785,0.0,0
2,0,16,32.93376,189.29161,0.0,0
2,1,15,352.4246,-109.79364,1.1368684e-13,1
2,1,16,352.1732,-116.18889,0.0,1
2,2,15,-96.94377,-408.81445,0.0,2
2,2,16,-102.79299,-173.76596,-1.1368684e-13,2
2,3,15,146.4526,-1203.2267,0.0,3
2,3,16,107.00509,-1203.073,0.0,3
2,4,15,337.66937,-1125.8788,0.0,4
2,4,16,313.37894,-1125.7906,0.0,4
2,5,15,202.79082,-1163.3503,0.0,5
2,5,16,186.28868,-1163.2883,0.0,5
2,6,15,269.25204,-1199.6555,0.0,6
2,6,16,251.10913,-1199.5851,0.0,6
2,7,15,-152.34692,-1167.6389,0.0,7
2,7,16,-168.01357,-1167.5797,0.0,7
2,8,15,-699.1967,-1554.9974,0.0,8
2,8,16,-683.6183,-1454.4019,0.0,8
2,9,15,-222.71638,-1149.9904,0.0,9
2,9,16,-243.40987,-1149.9133,0.0,9
2,10,15,-315.65936,-1175.9108,0.0,10
2,10,16,-317.23325,-1175.9048,0.0,10
2,11,15,-405.09665,-1043.9594,0.0,11
2,11,16,-425.8588,-959.71405,0.0,11
2,12,15,-382.91687,-111.031075,0.0,12
2,12,16,-382.91687,-111.031075,0.0,12
2,13,15,-722.62616,-1215.1208,0.0,13
2,13,16,-722.62616,-1215.1208,0.0,13
3,0,15,-58.93757,167.01399,0.0,0
3,0,16,30.617851,192.05586,-1.1368684e-13,0
3,1,15,352.41763,-109.771034,1.1368684e-13,1
3,1,16,352.1663,-116.1661,0.0,1
3,2,15,-98.4694,-408.1823,0.0,2
3,2,16,-102.84429,-173.97368,1.1368684e-13,2
3,3,15,146.44777,-1203.1852,0.0,3
3,3,16,106.51386,-1203.0295,0.0,3
3,4,15,337.25342,-1124.3748,0.0,4
3,4,16,313.08444,-1124.2872,0.0,4
3,5,15,202.76959,-1163.1482,0.0,5
3,5,16,186.24495,-1163.086,0.0,5
3,6,15,269.13666,-1200.5377,0.0,6
3,6,16,250.27046,-1200.4644,0.0,6
3,7,15,-152.56155,-1167.6558,0.0,7
3,7,16,-168.02475,-1167.5974,0.0,7
3,8,15,-699.17206,-1555.0117,-1.1368684e-13,8
3,8,16,-683.764,-1455.4661,0.0,8
3,9,15,-222.49818,-1150.0118,0.0,9
3,9,16,-243.41217,-1149.9341,0.0,9
3,10,15,-315.8643,-1175.8997,0.0,10
3,10,16,-317.24054,-1175.8944,0.0,10
3,11,15,-404.7556,-1045.7238,0.0,11
3,11,16,-426.98883,-968.1011,0.0,11
3,12,15,-382.95438,-111.282555,0.0,12
3,12,16,-382.95438,-111.282555,0.0,12
3,13,15,-722.6018,-1215.3044,0.0,13
3,13,16,-722.6018,-1215.3044,0.0,13
4,0,15,-58.93581,167.00327,0.0,0
4,0,16,30.414486,194.25134,0.0,0
4,1,15,352.3997,-109.71552,0.0,1
4,1,16,352.14835,-116.109726,-1.1368684e-13,1
4,2,15,-98.47803,-406.64072,0.0,2
4,2,16,-102.88552,-174.03047,0.0,2
4,3,15,150.07938,-1301.8667,0.0,3
4,3,16,106.48304,-1202.7688,0.0,3
4,4,15,337.59183,-1125.3972,0.0,4
4,4,16,313.2563,-1125.309,0.0,4
4,5,15,202.79353,-1163.1089,0.0,5
4,5,16,186.26414,-1163.0468,0.0,5
4,6,15,269.035,-1201.2618,0.0,6
4,6,16,250.40306,-1201.1893,0.0,6
4,7,15,-152.2121,-1166.2778,0.0,7
4,7,16,-167.76614,-1166.2191,0.0,7
4,8,15,-699.14136,-1555.1095,0.0,8
4,8,16,-683.9626,-1455.591,0.0,8
4,9,15,-222.50262,-1149.9651,0.0,9
4,9,16,-243.42867,-1149.8873,0.0,9
4,10,15,-315.87674,-1176.2638,0.0,10
4,10,16,-317.25156,-1176.2585,0.0,10
4,11,15,-405.11493,-1048.6935,0.0,11
4,11,16,-427.2452,-971.34534,0.0,11
4,12,15,-382.95987,-111.321556,0.0,12
4,12,16,-382.95987,-111.321556,0.0,12
4,13,15,-722.645,-1215.6313,0.0,13
4,13,16,-722.645,-1215.6313,0.0,13
5,0,15,-58.818745,166.0961,0.0,0
5,0,16,30.404478,195.59213,1.1368684e-13,0
5,1,15,352.41617,-109.8624,-1.1368684e-13,1
5,1,16,352.16492,-116.255516,0.0,1
5,2,15,-98.87504,-405.9495,0.0,2
5,2,16,-102.90963,-173.89359,0.0,2
5,3,15,149.89093,-1303.036,0.0,3
5,3,16,106.99043,-1202.831,0.0,3
5,4,15,337.53738,-1125.0823,0.0,4
5,4,16,313.40903,-1124.9948,0.0,4
5,5,15,202.8239,-1162.8765,0.0,5
5,5,16,186.28506,-1162.8143,0.0,5
5,6,15,267.71286,-1203.3872,0.0,6
5,6,16,252.08737,-1203.3264,0.0,6
5,7,15,-152.47949,-1166.6125,0.0,7
5,7,16,-167.81583,-1166.5547,0.0,7
5,8,15,-699.36975,-1555.1085,0.0,8
5,8,16,-683.9619,-1455.5913,0.0,8
5,9,15,-222.49101,-1150.151,0.0,9
5,9,16,-243.40347,-1150.0732,0.0,9
5,10,15,-315.71036,-1176.2843,0.0,10
5,10,16,-317.2822,-1176.2783,0.0,10
5,11,15,-404.87555,-1044.1718,0.0,11
5,11,16,-426.92212,-968.0216,0.0,11
5,12,15,-382.97745,-111.34171,-1.1368684e-13,12
5,12,16,-382.97745,-111.34171,-1.1368684e-13,12
5,13,15,-722.6576,-1215.5939,0.0,13
5,13,16,-722.6576,-1215.5939,0.0,13
6,0,15,-58.85223,166.38622,1.1368684e-13,0
6,0,16,30.425245,194.8153,0.0,0
6,1,15,352.41864,-109.92765,0.0,1
6,1,16,352.1673,-116.32027,0.0,1
6,2,15,-99.20752,-406.0512,0.0,2
6,2,16,-102.88665,-173.7812,0.0,2
6,3,15,150.14055,-1303.0314,0.0,3
6,3,16,106.992195,-1202.8262,0.0,3
6,4,15,337.43286,-1124.463,0.0,4
6,4,16,313.26413,-1124.3754,0.0,4
6,5,15,202.86707,-1162.6224,0.0,5
6,5,16,186.30473,-1162.5603,0.0,5
6,6,15,269.7482,-1203.7006,0.0,6
6,6,16,252.05922,-1203.6316,0.0,6
6,7,15,-152.25546,-1166.3617,0.0,7
6,7,16,-168.00818,-1166.3022,0.0,7
6,8,15,-699.3656,-1555.1259,-1.1368684e-13,8
6,8,16,-683.9587,-1455.6136,0.0,8
6,9,15,-222.4898,-1150.1311,0.0,9
6,9,16,-243.39558,-1150.0533,0.0,9
