frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
0,0,701.863,570.532,550.993,400.18,1
0,1,780.249,135.702,740.994,25.9382,0
0,2,1150.42,441.335,1062.4,304.06,0
0,3,905.65,190.525,862.53,55.4497,0
0,4,272.806,159.157,225.777,27.9439,0
0,5,137.662,415.774,90.6648,325.759,0
0,6,974.168,196.382,929.062,69.1349,0
0,7,846.861,116.092,805.65,68.9776,0
0,8,94.5306,71.079,55.2901,5.34552,0
0,9,607.871,415.892,509.838,290.489,1
0,10,523.544,170.953,478.546,59.2772,0
0,11,458.85,184.664,413.794,59.2904,0
0,12,400.123,114.125,337.452,5.35359,0
1,0,701.838,568.68,551.021,400.157,1
1,1,780.249,135.705,740.994,25.9476,0
1,2,1150.42,441.329,1062.39,304.056,0
1,3,903.649,192.473,858.598,55.3653,0
1,4,272.834,161.145,225.785,27.9314,0
1,5,137.665,415.774,90.6587,327.659,0
1,6,972.262,196.42,929.076,69.136,0
1,8,94.5512,71.0846,55.2937,5.34546,0
1,7,844.903,116.02,805.694,69.0314,0
1,10,523.528,202.281,478.549,59.2705,0
1,9,605.842,415.91,509.833,290.499,1
1,11,458.856,190.509,413.772,59.2972,0
1,12,400.118,114.147,337.465,5.3561,0
2,1,780.26,135.675,740.992,25.9546,0
2,0,698.007,570.553,551.006,400.176,1
2,2,1150.41,441.329,1062.39,304.066,0
2,3,901.7,192.447,860.528,55.3272,0
2,4,272.802,159.154,225.78,27.9148,0
2,5,137.649,415.756,90.6569,333.503,0
2,6,974.139,198.371,929.064,69.1364,0
2,8,94.5472,71.0824,55.295,5.34562,0
2,7,844.89,114.167,805.732,69.0494,0
2,9,605.869,415.915,509.83,290.504,1
2,11,456.996,145.478,413.795,59.305,0
2,10,523.512,120.044,478.571,59.2726,0
2,12,400.125,114.11,337.453,5.3529,0
3,0,697.883,570.569,550.993,400.159,1
3,1,780.247,135.665,740.987,25.9593,0
3,2,1150.41,441.329,1062.39,304.058,0
3,4,270.883,159.164,225.774,26.0593,0
3,3,901.681,192.49,860.522,55.3403,0
3,5,137.631,415.757,90.6574,323.847,0
3,6,974.156,198.364,929.057,69.1389,0
3,7,844.915,116.024,805.691,69.0109,0
3,8,94.5504,71.0831,55.2963,5.34565,0
3,9,605.841,415.88,509.836,290.504,1
3,10,523.524,202.292,478.554,59.2686,0
3,11,457.006,190.52,413.791,59.3041,0
3,12,400.112,114.129,337.453,5.35334,0
4,0,697.907,570.627,549.067,400.213,1
4,1,780.257,135.655,740.989,25.96,0
4,2,1150.41,441.335,1062.39,304.06,0
4,3,901.705,180.712,858.612,55.4024,0
4,4,270.826,161.156,225.763,26.0321,0
4,6,974.163,196.444,929.086,69.138,0
4,5,137.635,415.766,90.6584,323.856,0
4,10,523.557,196.416,478.554,59.2567,0
4,7,844.925,115.992,805.674,69.0054,0
4,8,94.552,71.0819,55.2996,5.34566,0
4,9,605.875,415.869,509.839,290.517,1
4,11,458.868,188.569,413.788,59.2917,0
4,12,400.121,114.113,337.449,5.35291,0
5,1,780.242,135.649,740.989,25.9581,0
5,0,696.047,570.623,549.08,402.127,1
5,2,1150.41,441.33,1062.39,304.06,0
5,4,272.781,161.164,225.761,26.0307,0
5,3,901.731,178.735,860.584,55.4057,0
5,6,974.151,196.443,929.067,69.1247,0
5,5,137.664,415.796,90.6573,323.802,0
5,10,523.532,210.166,478.531,59.2444,0
5,8,94.5516,71.0769,55.2981,5.34551,0
5,7,844.899,114.167,805.681,69.0382,0
5,9,607.81,415.871,509.839,290.523,1
5,11,458.854,190.536,413.772,59.2915,0
5,12,398.271,114.105,337.463,5.35341,0
6,1,780.23,135.656,740.981,25.9594,0
6,2,1150.41,441.329,1062.39,304.07,0
6,0,697.877,570.624,550.98,404.127,1
6,4,270.862,161.133,225.763,26.0249,0
6,3,901.738,178.779,860.552,55.4003,0
6,6,974.151,196.385,929.084,69.1047,0
6,5,137.667,415.804,90.6567,323.81,0
6,10,523.542,149.416,478.553,59.2627,0
6,7,846.819,116.002,805.663,69.0314,0
6,8,96.4528,71.0602,55.2936,5.34527,0
6,9,607.847,415.88,509.841,290.52,1
6,11,458.866,188.585,413.777,59.2967,0
6,12,400.12,114.128,337.454,5.35314,0
7,1,780.235,133.787,740.984,25.9617,0
7,2,1150.41,441.33,1062.4,304.064,0
7,0,697.938,570.62,550.981,406.051,1
7,3,901.78,178.799,860.56,55.4051,0
7,4,270.859,163.049,225.774,25.9879,0
7,6,974.152,196.41,929.094,69.1145,0
7,5,137.671,415.821,90.6563,323.808,0
7,10,523.53,206.189,478.542,59.2466,0
7,8,94.5588,71.0594,55.2939,5.34515,0
7,7,846.808,115.988,805.668,69.0246,0
7,9,607.83,415.877,509.84,290.521,1
7,11,458.863,192.465,413.772,59.2939,0
7,12,398.269,114.122,337.46,5.35334,0
8,1,778.351,133.787,740.984,25.9545,0
8,2,1150.41,441.332,1062.39,304.066,0
8,3,901.792,178.755,862.537,55.3782,0
8,4,268.914,161.087,225.778,25.9783,0
8,0,697.931,570.606,551,408.002,1
8,10,523.54,202.278,478.548,57.4013,0
8,6,974.152,196.397,929.1,69.1253,0
8,5,137.679,415.841,90.6559,323.807,0
8,7,846.841,115.993,805.656,68.9962,0
8,9,607.826,415.876,509.834,290.523,1
8,8,94.5447,71.0575,55.2907,5.34506,0
8,11,458.862,200.325,413.782,59.2917,0
8,12,398.257,114.133,337.456,5.35456,0
9,1,780.211,133.785,740.975,25.9559,0
9,2,1150.41,441.333,1062.39,304.065,0
9,3,903.626,178.826,862.496,55.3698,0
9,4,268.908,159.178,225.775,25.9559,0
9,0,697.929,570.596,551.041,409.937,1
9,5,137.675,415.831,90.6576,323.808,0
9,6,974.147,196.409,929.092,69.1208,0
9,10,523.526,153.317,478.555,59.2516,0
9,7,846.843,116.022,805.649,68.9965,0
9,8,94.5509,71.0604,55.294,5.34504,0
9,9,607.81,415.865,509.84,290.524,1
9,11,458.866,190.513,413.782,59.2956,0
9,12,398.265,114.131,337.456,5.35429,0
10,1,780.224,133.783,740.964,25.9559,0
10,2,1150.41,441.329,1062.38,304.07,0
10,3,903.63,192.446,862.512,55.3561,0
10,4,270.819,161.092,225.766,25.959,0
10,0,697.937,570.591,552.92,409.968,1
10,10,523.547,210.132,474.623,57.397,0
10,5,137.668,415.83,90.6585,323.811,0
10,6,974.165,196.467,929.065,69.1056,0
10,7,846.867,116.058,805.633,69.0008,0
10,8,94.5486,71.0608,55.2922,5.34511,0
10,9,607.807,415.866,509.844,290.526,1
10,11,458.862,198.391,411.913,59.2875,0
10,12,398.262,114.15,337.449,5.35437,0
11,1,780.259,133.785,740.966,25.9576,0
11,2,1150.42,441.329,1062.38,304.062,0
11,0,697.931,570.583,552.942,409.99,1
11,3,907.612,192.482,860.546,55.3831,0
11,4,266.952,159.186,225.764,25.9487,0
11,5,137.667,415.827,90.6591,323.811,0
11,6,974.165,198.349,929.059,69.1029,0
11,10,523.52,196.411,478.553,59.2501,0
11,7,846.834,116.039,805.647,69.0207,0
11,8,94.5514,71.0609,55.2922,5.34515,0
11,9,605.937,415.872,509.839,290.529,1
11,11,458.868,190.499,413.779,59.296,0
11,12,398.261,114.134,337.47,5.35706,0
12,1,780.252,133.775,740.968,25.9566,0
12,2,1150.42,441.328,1062.38,304.062,0
12,0,697.939,570.587,552.916,409.982,1
12,3,909.532,147.383,860.527,55.4119,0
12,4,268.879,157.192,225.765,25.9404,0
12,10,523.537,194.453,478.549,57.3998,0
12,5,137.664,415.823,90.6582,323.811,0
12,6,974.156,196.426,929.058,69.1042,0
12,7,846.828,115.981,805.641,69.0238,0
12,8,94.5528,71.0626,55.2929,5.34519,0
12,9,605.923,415.867,509.838,290.537,1
12,11,458.87,196.423,413.788,59.287,0
12,12,398.268,114.139,337.459,5.35769,0
13,2,1150.41,441.331,1062.39,304.059,0
13,1,780.261,133.774,740.966,25.9533,0
13,4,270.818,153.288,225.766,25.9386,0
13,3,911.48,180.722,858.632,55.3905,0
13,0,697.944,570.602,552.923,409.959,1
13,10,523.538,200.339,478.548,57.4018,0
13,5,137.665,415.836,90.6627,323.8,0
13,6,974.162,196.428,929.056,69.1036,0
13,7,846.811,115.975,805.657,69.0226,0
13,8,94.5522,71.0697,55.2938,5.34514,0
13,11,458.872,198.382,413.793,59.2833,0
13,9,605.923,415.867,509.835,290.527,1
13,12,400.12,114.152,337.447,5.35721,0
14,2,1150.41,441.332,1062.4,304.067,0
14,1,780.25,133.78,740.965,25.9513,0
14,3,911.475,180.713,858.646,55.3894,0
14,0,697.923,570.611,551.036,409.965,1
14,4,270.817,155.25,225.758,24.1364,0
14,10,523.535,198.372,478.547,57.3978,0
14,5,137.666,415.837,90.6587,323.797,0
14,6,974.161,196.422,929.055,69.104,0
14,7,846.822,115.975,805.657,69.0147,0
14,8,94.5494,71.0695,55.2938,5.34523,0
14,11,458.87,198.362,413.794,59.2822,0
14,9,605.939,415.864,509.832,290.525,1
14,12,400.121,114.152,337.453,5.35633,0
15,1,780.258,133.775,740.966,25.9517,0
15,2,1150.41,441.332,1064.27,304.06,0
15,4,268.919,155.266,225.759,25.9364,0
15,3,911.494,145.436,858.648,55.3893,0
15,0,697.885,570.625,552.905,409.918,1
15,5,137.667,415.839,90.6588,323.797,0
15,6,974.167,196.438,929.059,69.105,0
15,7,844.924,114.167,805.664,69.0286,0
15,8,94.5468,71.0732,55.2952,5.34527,0
15,10,523.523,147.439,478.553,59.2592,0
15,9,605.934,415.869,509.83,290.525,1
15,11,458.878,184.645,413.817,59.2925,0
15,12,400.146,114.133,337.452,5.35216,0
16,2,1150.41,441.333,1064.27,304.061,0
16,1,780.261,133.785,740.966,25.9506,0
16,0,696.04,570.626,551.03,408.012,1
16,4,270.815,157.216,225.756,25.9368,0
16,3,911.452,180.745,860.593,55.3894,0
