frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
0,1,-16.609375,234.11566162109375,74,m6,0,8,PRITHIKA-PAVADE
0,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
1,1,-18.0474853515625,229.849365234375,74,m6,0,8,PRITHIKA-PAVADE
1,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
2,1,-19.490234375,225.56939697265625,74,m5,0,8,PRITHIKA-PAVADE
2,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
3,1,-19.43994140625,229.849365234375,74,m6,0,8,PRITHIKA-PAVADE
3,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
4,1,-17.99957275390625,234.11566162109375,74,m6,0,8,PRITHIKA-PAVADE
4,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
5,1,-16.5638427734375,238.368408203125,74,m6,0,8,PRITHIKA-PAVADE
5,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
6,1,-16.47314453125,246.8333740234375,74,m6,0,8,PRITHIKA-PAVADE
6,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
7,1,-16.42803955078125,251.0457763671875,74,m6,0,8,PRITHIKA-PAVADE
7,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
8,1,-16.38311767578125,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
8,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
9,1,-15.00384521484375,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
9,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
10,1,-15.00384521484375,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
10,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
11,1,-15.00384521484375,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
11,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
12,1,-15.00384521484375,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
12,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
13,1,-16.38311767578125,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
13,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
14,1,-16.38311767578125,255.24481201171875,74,m6,0,8,PRITHIKA-PAVADE
14,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
15,1,-16.42803955078125,251.0457763671875,74,m6,0,8,PRITHIKA-PAVADE
15,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
16,1,-16.42803955078125,251.0457763671875,74,m6,0,8,PRITHIKA-PAVADE
16,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
17,1,-17.85675048828125,246.8333740234375,74,m6,0,8,PRITHIKA-PAVADE
17,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
18,1,-20.62396240234375,246.8333740234375,74,m6,0,8,PRITHIKA-PAVADE
18,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
19,1,-20.67584228515625,242.60760498046875,74,m6,0,8,PRITHIKA-PAVADE
19,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
20,1,-22.1158447265625,238.368408203125,74,m6,0,8,PRITHIKA-PAVADE
20,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
21,1,-20.67584228515625,242.60760498046875,74,m6,0,8,PRITHIKA-PAVADE
21,0,-94.38250732421875,-164.8782958984375,74,e4,9,8,PRITHIKA-PAVADE
22,1,-19.2900390625,242.60760498046875,74,m6,0,8,PRITHIKA-PAVADE
